"Ticker","Nome","Negócios","Última (R$)","Variação"
"REDE3","Rede Energia","800","6,27","-0,16%"
"EKTR4","Elektro","700","50,80","+3,67%"
"GEPA4","Rio Paranapanema Energia","700","30,00","+1,66%"
"EALT3","Electro Aço Altona","600","13,46","+0,82%"
"CPLE5","Copel","600","9,96","+4,84%"
"PEAB3","Participações Aliança da Bahia","500","42,50","+1,67%"
"EQMA3B","Equatorial Maranhão","500","23,55","+0,00%"
"TKNO3","Tekno","400","50,00","+22,85%"
"BGIP4","Banese","400","24,35","-0,61%"
"EUCA3","Eucatex","400","16,21","-0,25%"
"CEBR5","CEB","400","15,48","-0,51%"
"AFLT3","Afluente T","400","7,30","+6,73%"
"MGEL4","Mangels","400","6,96","-0,14%"
"DTCY3","Dtcom","400","4,45","+0,00%"
"ATMP3","Atma","400","1,11","+0,00%"
"PPLA11","PPLA","375","1,45","+0,69%"
"BMEB3","Banco Mercantil do Brasil","300","31,62","-3,01%"
"MRSA3B","MRS Logística","300","30,99","+3,33%"
"CEDO3","Cedro Têxtil","300","30,00","+0,00%"
"CRPG6","Tronox Pigmentos","300","21,05","+0,29%"
"BMIN4","Banco Mercantil de Investimentos","300","16,92","-0,18%"
"FIEI3","Fica","200","9,00","-1,10%"
"RPAD5","Alfa Holdings","200","8,39","+19,86%"
"RPAD6","Alfa Holdings","200","5,72","-4,67%"
"MOAR3","Monteiro Aranha","100","400,00","-2,68%"
"ENMT3","Energisa MT","100","84,00","+8,39%"
"UNIP5","Unipar","100","47,11","-7,45%"
"CEEB3","COELBA","100","38,60","+0,92%"
"AHEB3","São Paulo Turismo","100","38,25","+0,66%"
"PATI3","Panatlântica","100","27,02","+7,99%"
"BGIP3","Banese","100","24,87","-0,52%"
"BDLL4","Bardella","100","8,40","+8,39%"
"BSLI4","Banco de Brasília","100","8,12","+0,00%"
"EMAE4","EMAE","12.700","40,90","+4,23%"
"CEDO4","Cedro Têxtil","2.800","23,29","+10,07%"
"ESTR4","Estrela","1.100","3,98","-20,08%"
"TKNO4","Tekno","800","61,00","+13,26%"
"HAGA3","Haga","800","1,86","-2,62%"
"RPAD3","Alfa Holdings","600","6,00","+0,00%"
"MAPT4","Cemepe","400","5,49","+9,80%"
"DOHL4","Döhler","400","4,10","+2,50%"
"MERC4","Mercantil do Brasil Financeira","200","9,40","+0,00%"
"CGAS3","Comgás","100","120,00","+0,00%"
"CTKA4","Karsten","100","21,90","+6,26%"
"FESA3","Ferbasa","100","11,40","-4,84%"
"SNSY5","Sansuy","100","3,87","+3,20%"
"BMKS3","Monark","9","315,00","+0,00%"
"CBEE3","Ampla Energia","600","10,01","-16,58%"
"PSVM11","PORTO VM","200","4,45","+0,00%"
"MWET3","Wetzel","100","12,50","-2,34%"
"SNSY3","Sansuy","400","9,90","-1,00%"
"BRKM6","Braskem","300","8,70","-1,69%"
"PATI4","Panatlântica","200","35,00","+0,00%"
"JOPA3","Josapar","200","21,00","+0,00%"
"IGTI4","Jereissati Participações","200","7,79","-0,76%"
"IGTI4","Iguatemi","200","7,79","-0,76%"
"GEPA3","Rio Paranapanema Energia","100","27,00","-5,26%"
"LUXM4","Trevisa","100","12,50","+8,70%"
"PTNT3","Pettenati","100","8,29","+1,72%"
"MWET4","Wetzel","1.000","12,60","+5,00%"
"DASA11","DASA11","900","0,90","-16,67%"
"SOND5","Sondotécnica","400","39,50","-1,25%"
"EMAE3","EMAE","300","70,00","+0,00%"
"BALM3","Baumer","300","12,39","+1,23%"
"HBTS5","Habitasul","100","28,50","+0,00%"
"ATOM3","ATOM","417.000","4,30","+2,38%"
"BSLI3","Banco de Brasília","1.000","7,99","-0,12%"
"AHEB5","São Paulo Turismo","700","45,00","+0,00%"
"NORD3","Nordon","600","6,00","-9,09%"
"BNBR3","Banco do Nordeste","400","94,00","+2,50%"
"CLSC3","Celesc","100","79,24","+5,65%"
"CRPG3","Tronox Pigmentos","1.500","21,15","-20,22%"
"BRSR5","Banrisul","400","14,80","+0,00%"
"TEKA4","Teka","200","29,00","+0,00%"
"CEEB5","COELBA","100","35,70","+0,00%"
"MRSA6B","MRS Logística","600","28,00","-6,64%"
"BAUH4","Excelsior","100","78,49","-0,38%"
